scheme_id,scheme_name,ministry,scheme_level,scheme_type,scheme_category,documents_required,application_url,benefit_description,min_age,max_age,income_limit,applicable_states,special_conditions_required,source_url
puducherry_restructured_css_scheme_for_development_of_scheduled_castes,Scheme for Development of Scheduled Castes,,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_scheme_for_development_of_other_backward_classes_and_denotif,"Scheme for Development of Other Backward Classes and denotified, nomadic and semi-nomadic Tribes",,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_scheme_for_development_of_economically_backward_classes_ebcs,Scheme for development of Economically backward Classes (EBCs),,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_pradhan_mantri_adarsh_gram_yojana_pmagy,Pradhan Mantri Adarsh Gram Yojana (PMAGY),,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_national_programme_for_persons_with_disabilities,National Programme for Persons with Disabilities,,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_catalytic_development_programme_under_sericulture,Catalytic Development Programme under Sericulture,,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_umbrella_scheme_for_education_of_st_students,Umbrella Scheme for Education of ST students,,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_national_mission_for_empowerment_of_women_including_indira_g,National Mission for Empowerment of Women including Indira Gandhi Mattritav Sahyog Yojana (IGMSY),,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_integrated_child_protection_scheme_icps,Integrated Child Protection Scheme (ICPS),,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_rajiv_gandhi_scheme_for_empowerment_of_adolescent_girls_sabl,Rajiv Gandhi Scheme for Empowerment of Adolescent Girls (SABLA),,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_national_mission_on_food_processing,National Mission on Food Processing,,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
puducherry_restructured_css_national_service_scheme_nss,National Service Scheme (NSS),,state,state,mixed,,,,,,,Puducherry,,https://pandr.py.gov.in/restructured-css-list
