iter	Logloss
0	0.5423948441
1	0.4280608599
2	0.3514680522
3	0.2875018643
4	0.2408776823
5	0.2069845965
6	0.1846904723
7	0.1657961076
8	0.15114261
9	0.1391891021
10	0.1297798017
11	0.1214152223
12	0.1141780624
13	0.1090756906
14	0.1032828055
15	0.1001671234
16	0.09678548576
17	0.09347290397
18	0.09109840157
19	0.08893847385
20	0.08711654246
21	0.08553907279
22	0.08435639811
23	0.08334175359
24	0.08235617396
25	0.08167335357
26	0.08088792218
27	0.08025439952
28	0.0798705833
29	0.07958794768
30	0.07940173174
31	0.07873772484
32	0.07847438724
33	0.07824168303
34	0.07791337898
35	0.07749692106
36	0.07723985943
37	0.07709706345
38	0.07676907848
39	0.07671671177
40	0.07637613144
41	0.07629158757
42	0.07609678188
43	0.07599066167
44	0.07593355074
45	0.07590965224
46	0.07576398016
47	0.07573870828
48	0.07562803179
49	0.07562530178
50	0.07554469625
51	0.07545579797
52	0.07541674778
53	0.07541674322
54	0.07541399408
55	0.07531171884
56	0.07530823138
57	0.0752111927
58	0.07520103305
59	0.07517467231
60	0.07516574296
61	0.07515876973
62	0.07504685171
63	0.0750380091
64	0.0750208917
65	0.07502088462
66	0.07498302536
67	0.07494062658
68	0.07492690842
69	0.07492199052
70	0.07491770912
71	0.07482315561
72	0.07479665469
73	0.07477230557
74	0.07475769378
75	0.07463044676
76	0.07459770132
77	0.07457562798
78	0.07453391085
79	0.07448069631
80	0.07444311486
81	0.07442942654
82	0.07442369837
83	0.07428944368
84	0.07410731974
85	0.07410385876
86	0.07410134571
87	0.07410133832
88	0.07394599602
89	0.0739352038
90	0.0739351992
91	0.07392752201
92	0.07392626385
93	0.07390155368
94	0.07389353544
95	0.07388814083
96	0.07388714277
97	0.0738764951
98	0.07385154366
99	0.07382718586
100	0.07372568059
101	0.07365319133
102	0.07364424513
103	0.07364345666
104	0.07362101817
105	0.07357457054
106	0.07357426791
107	0.0735601554
108	0.07355158432
109	0.07354518747
110	0.07353942224
111	0.07353941914
112	0.07347136399
113	0.07346069885
114	0.07345183082
115	0.07343210636
116	0.07342007664
117	0.073417261
118	0.07341725439
119	0.07341330462
120	0.07341329547
121	0.07341241498
122	0.07341171743
123	0.07339022042
124	0.0733675241
125	0.07335574837
126	0.07334790975
127	0.07334789025
128	0.07334113814
129	0.07332103361
130	0.07330863796
131	0.07328697892
132	0.07327680704
133	0.07327680314
134	0.07326066444
135	0.07326064468
136	0.07324242695
137	0.07315922702
138	0.07315922684
139	0.0731592243
140	0.07314446379
141	0.07312773592
142	0.07302067796
143	0.07302066818
144	0.07274857429
145	0.07274854699
146	0.07274754279
147	0.07273939266
148	0.07263541095
149	0.07262939558
150	0.07262585518
151	0.07260593658
152	0.07259774103
153	0.07259115202
154	0.07254596451
155	0.0725384553
156	0.07242701905
157	0.07241894252
158	0.07241294694
159	0.07241048726
160	0.07241048014
161	0.07240911145
162	0.0724064789
163	0.07237924142
164	0.07236813783
165	0.07229733446
166	0.07229180785
167	0.07228908233
168	0.07226657809
169	0.07225932687
170	0.07224614065
171	0.07222185729
172	0.07205858067
173	0.0720381315
174	0.07195547785
175	0.07192872689
176	0.07192442996
177	0.07192442936
178	0.07191673673
179	0.07191246594
180	0.07189239664
181	0.07181609422
182	0.07181472448
183	0.07181314658
184	0.07180485437
185	0.07177406586
186	0.07177276565
187	0.07177091937
188	0.07176588718
189	0.07164575004
190	0.07163071469
191	0.07162335354
192	0.07161493359
193	0.07161301109
194	0.07158968428
195	0.07157774736
196	0.07156924948
197	0.07156924729
198	0.07156323013
199	0.07155662992
200	0.07152684476
201	0.07151659959
202	0.07150666015
203	0.07148276811
204	0.07147697708
205	0.0714758503
206	0.07147581088
207	0.07146572561
208	0.07142992291
209	0.07142293713
210	0.07141404323
211	0.07140815585
212	0.07140815375
213	0.07140334385
214	0.07138931859
215	0.07138925941
216	0.07138757887
217	0.07138753677
218	0.07137861814
219	0.07137362
220	0.07137185479
221	0.07136947295
222	0.07136443438
223	0.07136441066
224	0.07135033457
225	0.07131519223
226	0.07131108953
227	0.0712957985
228	0.07128704796
229	0.07128607637
230	0.07127337872
231	0.07126754588
232	0.07122394168
233	0.07116221074
234	0.07113969734
235	0.07113852077
236	0.07113287467
237	0.07112669265
238	0.07110385075
239	0.07108277269
240	0.07107380716
241	0.07106180449
242	0.07104907866
243	0.07098948269
244	0.07097926164
245	0.07095565126
246	0.07093924131
247	0.07092824491
248	0.07092268774
249	0.07090477451
250	0.07089948646
251	0.0708752794
252	0.0708525258
253	0.07085180632
254	0.07083285262
255	0.07081282147
256	0.07080816371
257	0.0707944424
258	0.07077249386
259	0.07076992177
260	0.07075748855
261	0.07074926323
262	0.07070062923
263	0.07067761271
264	0.07064749425
